,price,rooms,area,kitchen_area,Годпостройки,Количествоэтажей,Количествобалконов,Количествоквартир,Количествоподъездов,number_of_owners,number_of_elevators,renovation_Евро,renovation_Косметический,renovation_Отсутствует,deal_type_Свободная продажа,Материалстен_Железобетон,Материалстен_Кирпично-монолитный,Материалстен_Кирпичный,Материалстен_Монолитный,Материалстен_Панельный,Материалстен_Смешанные,Сериядома_1-513,Сериядома_121,Сериядома_121. многоквартирный дом,"Сериядома_14/14, индивидуальный",Сериядома_2.многоквартирный,Сериядома_25,Сериядома_89152-к примогражданпроект,Сериядома_II-01,Сериядома_II-03,Сериядома_II-32,Сериядома_II-66,Сериядома_v-кирпичный,Сериядома_ПП-83,Сериядома_у-0101,Типперекрытий_Железобетонный,Типперекрытий_Монолитный,Типперекрытий_Смешанный,Типфундамента_Иной,Типфундамента_Ленточный,Типфундамента_Сборный,Типфундамента_Свайный,Типфундамента_Сплошной,Горячееводоснабжение_Поквартирный котел,Теплоснабжение_Центральное,energy_efficiency_class_C,energy_efficiency_class_D,energy_efficiency_class_E,ventilation_Приточно-вытяжная
61,16.072051817168948,2.0,45.3,8.0,1977.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,16.36495580701484,3.0,58.6,9.0,2019.0,10.0,1.0,219.5,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
61,16.072051817168948,2.0,45.3,8.0,1977.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,16.193295976277025,3.0,85.1,10.0,2011.0,24.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
107,15.789591722875162,2.0,32.0,8.0,1918.0,2.0,1.0,219.5,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
54,15.687312888712007,1.0,28.5,5.0,2023.0,4.0,1.0,219.5,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
115,15.424948670398354,2.0,46.8,8.0,2001.0,10.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,16.380459992348886,3.0,76.3,8.0,2010.0,15.0,1.0,215.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,15.710127563007966,1.0,31.6,5.0,2001.0,3.0,1.0,219.5,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
100,15.581952390148196,1.0,36.7,5.0,2001.0,25.0,1.0,219.5,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
