,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude
93,93,5000000,1.0,38.6,12.0,9.0,Отсутствует,,,,2021.0,Монолитный,,14.0,,Железобетонный,,,1.0,,,,,,,,,,,,,,,43.097522600000005,131.9493676323773
94,94,7050000,1.0,25.2,4.0,24.0,Евро,Свободная продажа,,,2019.0,Монолитный,,,,,,,1.0,,,,,,,,,,,,,,,43.08745,131.856284
95,95,4450000,1.0,26.0,8.0,2.0,Отсутствует,,нет,,,,,25.0,,,,,,,,,,,,,,,,,,,,43.11458735,131.9715006309379
96,96,7700000,1.0,44.6,14.0,12.0,Отсутствует,,,,2023.0,Монолитный,,24.0,есть,,,,1.0,,,,,,,,,,,,,,,43.2013578,131.9473328
97,97,10500000,3.0,72.0,10.0,7.0,Евро,,,есть,2012.0,Кирпичный,v-кирпичный,14.0,есть,Железобетонный,Ленточный,,1.0,254.0,,,,,,,,D,,,,,,43.2150671,131.94874704619235
98,98,8600000,1.0,36.7,6.0,8.0,Евро,,,,,Кирпично-монолитный,,25.0,,,,,1.0,,,,,,,,,,,,,,,43.2516191,132.027896
99,99,6100000,2.0,46.6,6.4,1.0,Косметический,,нет,,1956.0,Блочный,,3.0,,Железобетонный,Ленточный,,,,Центральное,Центральное,,,,,,,Центральное,,Вытяжная,,,43.09790755,131.95058575700403
100,100,5850000,1.0,36.7,5.0,8.0,Отсутствует,Свободная продажа,,,,Панельный,,25.0,,,,,1.0,,,,,,,,,,,,,,,,
101,101,15300000,4.0,71.0,6.0,21.0,Евро,Свободная продажа,нет,,2019.0,Монолитный,,,,,,,,,,,,,,,,,,,,,,43.08745,131.856284
102,102,5850000,,36.6,6.0,3.0,Отсутствует,Свободная продажа,,,2024.0,Монолитный,,25.0,,Железобетонный,,Центральное,1.0,311.0,,,,,,,,,,,,,,,
103,103,4000000,,,,,,,,,1982.0,Панельный,у-0101,9.0,есть,Железобетонный,Ленточный,,,152.0,,,,,,,,E,,,,,,43.0963429,131.94498826067343
104,104,7900000,2.0,50.1,8.0,3.0,Косметический,Свободная продажа,,есть,1987.0,Панельный,ПП-83,9.0,есть,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,1.0,,,,,
105,105,7200000,,,,,,,,,2011.0,Монолитный,"14/14, индивидуальный",24.0,есть,Железобетонный,Бетонные столбы,,,,Центральное,,,,,,,C,,,,,,43.0874135,131.8558073
